actions: {'limb1': {2000: 'l 9 2', 1800: 'h 9 2', 100: 'h 2 9', 950: 'l 0 11 1 10', 600: 'l 0 11 3 8', 2500: 'l 0', 650: 'h 0 11 1 10', 300: 'l 2 9', 301: 'h 0 11 3 8'}, 'limb0': {100: 'h 18 5', 1800: 'h 5 18', 650: 'h 16 7 17 6', 300: 'l 18 5', 301: 'h 16 7 19 4', 2000: 'l 5 18', 950: 'l 16 7 17 6', 600: 'l 16 7 19 4', 2500: 'l 16'}, 'limb3': {100: 'h 10 17', 1800: 'h 17 10', 650: 'h 8 19 9 18', 300: 'l 10 17', 301: 'h 8 19 11 16', 2000: 'l 17 10', 950: 'l 8 19 9 18', 600: 'l 8 19 11 16', 2500: 'l 8'}, 'limb2': {100: 'h 6 13', 1800: 'h 13 6', 650: 'h 4 15 5 14', 300: 'l 6 13', 301: 'h 4 15 7 12', 2000: 'l 13 6', 950: 'l 4 15 5 14', 600: 'l 4 15 7 12', 2500: 'l 4'}, 'limb4': {100: 'h 14 1', 1800: 'h 1 14', 650: 'h 12 3 13 2', 300: 'l 14 1', 301: 'h 12 3 15 0', 2000: 'l 1 14', 950: 'l 12 3 13 2', 600: 'l 12 3 15 0', 2500: 'l 12'}}
transitions: {'limb1': [5.0, 0.0, 0], 'limb0': [1.5449999999999999, 4.7549999999999999, 0], 'limb3': [-4.0449999999999999, -2.9390000000000001, 0], 'limb2': [1.5449999999999999, -4.7549999999999999, 0], 'limb4': [-4.0449999999999999, 2.9390000000000001, 0]}
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm), Action
51300460,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513,limb1
51302983,46.5782036465,10.2299230014,148.636178258,6.19606452978,41.1361536513,limb1
51305504,43.3956364545,12.7521994692,133.130987468,6.19606452978,41.1361536513,limb1
51308026,40.4207054097,16.0448932477,103.624709868,6.27351708092,41.1383423613,limb0
51310548,37.684312395,19.1531903611,78.1649988729,6.19606452978,41.1361536513,limb0
51313070,34.9157895904,20.8589049331,79.7261239257,6.19400440426,41.1998079163,limb0
51315592,33.7778906109,22.4832738848,72.1384600397,6.19400440426,41.1998079163,limb0
51318113,32.411754229,23.9737681764,77.777782607,6.19400440426,41.1998079163,limb0
51320635,31.7974819779,26.1863464835,83.201318185,6.19606452978,41.1361536513,limb0
51323157,30.4301176891,25.3194442579,87.5040510478,6.19606452978,41.1361536513,limb0
51325679,28.6021583443,24.3121012422,89.8625945262,6.19606452978,41.1361536513,limb0
51328201,27.7130980224,25.4338022034,81.7027650285,6.19606452978,41.1361536513,limb0
51330722,25.6053981374,25.8839411541,91.8536905708,6.19606452978,41.1361536513,limb0
51333244,23.4635083371,24.9951518286,89.9178677303,6.19606452978,41.1361536513,limb0
51335766,20.7506089215,24.9822012439,99.9944159528,6.19606452978,41.1361536513,limb1
51338287,21.829992168,27.5612024962,53.7351768463,6.19606452978,41.1361536513,limb0
51340809,18.6968679884,28.5557766026,36.8623687675,6.19606452978,41.1361536513,limb0
51343331,20.8049635619,32.8840849514,27.1755130182,6.19606452978,41.1361536513,limb4
51345853,18.1126654015,32.2345917162,44.6246053075,6.27351708092,41.1383423613,limb0
51348375,16.4552599447,33.1434427823,26.4732783014,6.29205821058,40.5654539757,limb4
51350896,17.5531843208,35.149555649,29.16874782,4.13780765715,40.0585902405,limb4
